subject,trial,condition,block,sound_file,arousal,valence,time_bin_s,pupil_pct_change_sound_pre500to0_bin,pupil_bin_valid_ratio,pupil_bin_valid_ratio_lt50,trial_is_rejected_pupil,pupil_baseline_pre500to0,reverse_latency_main_s,mean_aligned_spv_0to2s,congruent_occupancy_0to2s,reverse_found_main,n_valid_slowphases
sub-1,1,BW,1,4.wav,7,6,0.05,-0.72222883157547,1,0,0,31.0574770264817,1.218,2.28760643934161,0.318681318681319,1,6
sub-1,1,BW,1,4.wav,7,6,0.15,-0.284255060251429,1,0,0,31.0574770264817,1.218,2.28760643934161,0.318681318681319,1,6
sub-1,1,BW,1,4.wav,7,6,0.25,0.385468160689647,1,0,0,31.0574770264817,1.218,2.28760643934161,0.318681318681319,1,6
sub-1,1,BW,1,4.wav,7,6,0.35,1.22314248551851,1,0,0,31.0574770264817,1.218,2.28760643934161,0.318681318681319,1,6
sub-1,1,BW,1,4.wav,7,6,0.45,1.41522346727077,1,0,0,31.0574770264817,1.218,2.28760643934161,0.318681318681319,1,6
sub-1,1,BW,1,4.wav,7,6,0.55,1.36220857481572,1,0,0,31.0574770264817,1.218,2.28760643934161,0.318681318681319,1,6
sub-1,1,BW,1,4.wav,7,6,0.65,1.51029662095127,1,0,0,31.0574770264817,1.218,2.28760643934161,0.318681318681319,1,6
sub-1,1,BW,1,4.wav,7,6,0.75,2.07650434565829,1,0,0,31.0574770264817,1.218,2.28760643934161,0.318681318681319,1,6
sub-1,1,BW,1,4.wav,7,6,0.85,3.59268659527259,1,0,0,31.0574770264817,1.218,2.28760643934161,0.318681318681319,1,6
sub-1,1,BW,1,4.wav,7,6,0.95,5.17669774516077,1,0,0,31.0574770264817,1.218,2.28760643934161,0.318681318681319,1,6
sub-1,1,BW,1,4.wav,7,6,1.05,6.39381878014129,1,0,0,31.0574770264817,1.218,2.28760643934161,0.318681318681319,1,6
sub-1,1,BW,1,4.wav,7,6,1.15,7.40176032901147,1,0,0,31.0574770264817,1.218,2.28760643934161,0.318681318681319,1,6
sub-1,1,BW,1,4.wav,7,6,1.25,8.67922241136399,1,0,0,31.0574770264817,1.218,2.28760643934161,0.318681318681319,1,6
sub-1,1,BW,1,4.wav,7,6,1.35,10.2423004429655,1,0,0,31.0574770264817,1.218,2.28760643934161,0.318681318681319,1,6
sub-1,1,BW,1,4.wav,7,6,1.45,10.1381463810292,1,0,0,31.0574770264817,1.218,2.28760643934161,0.318681318681319,1,6
sub-1,1,BW,1,4.wav,7,6,1.55,9.2886528536527,1,0,0,31.0574770264817,1.218,2.28760643934161,0.318681318681319,1,6
sub-1,1,BW,1,4.wav,7,6,1.65,8.68588735232142,1,0,0,31.0574770264817,1.218,2.28760643934161,0.318681318681319,1,6
sub-1,1,BW,1,4.wav,7,6,1.75,6.75746525593279,1,0,0,31.0574770264817,1.218,2.28760643934161,0.318681318681319,1,6
sub-1,1,BW,1,4.wav,7,6,1.85,4.46237371584137,1,0,0,31.0574770264817,1.218,2.28760643934161,0.318681318681319,1,6
sub-1,1,BW,1,4.wav,7,6,1.95,3.93493543177231,1,0,0,31.0574770264817,1.218,2.28760643934161,0.318681318681319,1,6
